"task","family","supported","reason","nodeBudget","operatorSet","binaryBudgetUsed","protectedCount","recognizedFeatures"
"p/2.trace","p","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","2","RequiredProposition(x0);NamedRoot;NamedReachability"
"p/4.trace","p","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","4","RequiredProposition(x0);NamedRoot;NamedDirectChild;NamedDirectChild;NamedReachability"
"p/8.trace","p","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","8","RequiredProposition(x0);NamedRoot;NamedDirectChild;NamedDirectChild;NamedDirectChild;NamedDirectChild;NamedDirectChild;NamedDirectChild;NamedReachability"
"positive/16.trace","positive","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"positive/32.trace","positive","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"positive/4.trace","positive","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"positive/64.trace","positive","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"positive/8.trace","positive","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"traces/16.trace","traces","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"traces/32.trace","traces","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"traces/4.trace","traces","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"traces/64.trace","traces","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"traces/8.trace","traces","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k01.trace","unary","true","SUPPORTED_MACRO","2","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k02.trace","unary","true","SUPPORTED_MACRO","3","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k04.trace","unary","true","SUPPORTED_MACRO","5","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k06.trace","unary","true","SUPPORTED_MACRO","7","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k08.trace","unary","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k10.trace","unary","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k14.trace","unary","true","SUPPORTED_MACRO","15","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k20.trace","unary","true","SUPPORTED_MACRO","21","Neg;X;F;G;And;Or;Imply","2","0",""
"unary/k30.trace","unary","true","SUPPORTED_MACRO","31","Neg;X;F;G;And;Or;Imply","2","0",""
