task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing
rq4c_unary/d12.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,13,0,0,2,,,,,13,MIN_EXPANDED_SIZE,0,13,0.030953258,,,0.92330217,90.281077924,0.020551471,0.017446089,91.80896678600038,3259692,PASSED,9285,2342659,8114624,,14,12977,,,,,2,,2,,,,13,,,91.541084093,,,,,13,12,0,12,False
rq4c_unary/d20.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,21,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.031826038,,,,,,,180.439301806,8842536,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_unary/d20.trace,rq4c_unary,macro,1,SAT,,MACRO,,21,0,0,2,1,22,1,1,21,MIN_EXPANDED_SIZE,0,21,0.029802102,0.000513242,0.01134492,0.014671296,3.4753527,0.004918333,0.017434989,3.8053064340001583,418528,PASSED,21893,96300,230475,,2,4165,22,1,20.0,20,3,,3,WEIGHTED_MAXSAT,22,21,21,0.767395538,2.707957162,3.662577756,32,32,0.0052331,0,21,20,0,20,False
rq4c_binary/n02.trace,rq4c_binary,macro,1,SAT,,MACRO,,3,1,0,3,1,1,3,3,3,MIN_EXPANDED_SIZE,0,3,0.030673603,0.000399529,0.00609716,0.002414235,0.471386842,0.005454985,0.007984253,0.7143343650004681,88892,PASSED,4106,1941,4241,,3,175,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,3,0.175752123,0.295634719,0.600839926,4,4,0.009015556,0,3,0,1,0,False
rq4c_binary/n02.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,3,1,0,3,,,,,3,MIN_EXPANDED_SIZE,0,3,0.037016358,,,0.028156755,0.189463978,0.017331067,0.011612576,0.6534961020006449,84108,PASSED,2286,1240,3259,,5,88,,,,,1,,1,,,,3,,,0.542465751,,,,,3,0,1,0,False
rq4c_unary/d40.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,41,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.027818907,,,,,,,180.28247914500025,8385368,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_unary/d40.trace,rq4c_unary,macro,1,SAT,,MACRO,,41,0,0,2,1,42,1,1,41,MIN_EXPANDED_SIZE,0,41,0.032645517,0.000551242,0.017302456,0.016503858,7.838047146,0.007756147,0.032033614,8.28488522599946,944640,PASSED,43873,270857,709759,,2,7405,42,1,40.0,40,4,,4,WEIGHTED_MAXSAT,42,41,41,1.282235288,6.555811858,8.075446551,32,32,0.005478785,0,41,40,0,40,False
rq4c_binary/n06.trace,rq4c_binary,macro,1,SAT,,MACRO,,11,5,0,11,1,1,11,11,11,MIN_EXPANDED_SIZE,0,11,0.029960266,0.000452241,0.009048737,0.007819619,11.85037776,0.006327975,0.012163809,12.199003881999488,280348,PASSED,23956,82567,224907,,11,4247,1,1,0.0,0,2,,2,WEIGHTED_MAXSAT,1,1,11,0.598287639,11.252090121,12.033736848,64,64,0.007003531,0,11,0,5,0,False
rq4c_binary/n06.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,11,5,0,11,,,,,11,MIN_EXPANDED_SIZE,0,11,0.029047545,,,0.055799687,2.001161267,0.02397434,0.017389688,2.5260940759999357,244800,PASSED,11441,62255,218007,,17,1776,,,,,2,,2,,,,11,,,2.385996488,,,,,11,0,5,0,False
rq4c_unary/d28.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,29,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.03273667,,,,,,,180.3168341520004,5170344,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_unary/d28.trace,rq4c_unary,macro,1,SAT,,MACRO,,29,0,0,2,1,30,1,1,29,MIN_EXPANDED_SIZE,0,29,0.030515978,0.000560263,0.015436173,0.010735376,4.117591715,0.006272354,0.020804316,4.461281572999724,478868,PASSED,29437,155270,389360,,2,5461,30,1,28.0,28,3,,3,WEIGHTED_MAXSAT,30,29,29,0.875615927,3.241975788,4.302498057,32,32,0.005886525,0,29,28,0,28,False
rq4c_unary/d32.trace,rq4c_unary,macro,1,SAT,,MACRO,,33,0,0,2,1,34,1,1,33,MIN_EXPANDED_SIZE,0,33,0.03143297,0.000574453,0.014910462,0.014582724,6.332087065,0.006921989,0.024259135,6.7210419310004,808040,PASSED,33833,190159,485319,,2,6109,34,1,32.0,32,4,,4,WEIGHTED_MAXSAT,34,33,33,1.156831577,5.175255488,6.539700839,32,32,0.005637389,0,33,32,0,32,False
rq4c_unary/d32.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,33,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.030216282,,,,,,,180.30468083400046,6293328,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
